STATE,TIME
al,21.12
ak,15.27
az,16.46
ar,20.05
ca,18.10
co,16.06
ct,15.01
de,18.07
fl,18.50
ga,19.09
hi,16.38
id,15.02
il,16.09
in,17.07
ia,14.30
ks,15.56
ky,19.11
la,19.04
me,13.17
md,16.43
ma,15.56
mi,17.43
mn,14.20
ms,21.02
mo,16.29
mt,14.17
ne,15.17
nv,20.03
nh,13.25
nj,17.17
nm,18.04
ny,18.08
nc,16.26
nd,14.27
oh,17.06
ok,18.09
or,14.49
pa,16.05
ri,16.23
sc,17.59
sd,14.16
tn,18.53
tx,18.41
ut,14.20
vt,14.37
va,16.16
wa,13.52
wv,20.29
wi,13.29
wy,15.40
